Exam,Homepage,CutoffURL
Goa Common Entrance Test – Engineering,https://dte.goa.gov.in/,https://dte.goa.gov.in/admissions.php
Goa Polytechnic Entrance Examination,https://dte.goa.gov.in/,https://dte.goa.gov.in/admissions.php
Graphic Era University Entrance Test,https://www.geu.ac.in/,https://www.geu.ac.in/admissions/
Gujarat Common Entrance Test,https://gujcet.gseb.org/,https://gujacpc.admissions.nic.in/
Gujarat Common Entrance Test – Medical and Pharmacy,https://www.medadmgujarat.org/,https://www.medadmgujarat.org/ug/home.aspx
Gujarat Common Entrance Test – Polytechnic,https://acpdc.gujarat.gov.in/,https://acpdc.gujarat.gov.in/meritlist.aspx
Guru Gobind Singh Indraprastha University Common Entrance Test,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Hotel Management and Catering Technology,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Guru Gobind Singh Indraprastha University Common Entrance Test for Bachelor of Journalism and Mass Communication,https://ipu.ac.in/,https://ipu.admissions.nic.in/
Haryana Agriculture Entrance Examination,https://admissions.hau.ac.in/,https://admissions.hau.ac.in/
Haryana Bachelor of Arts Entrance Examination,https://highereduhry.ac.in/,https://www.collegedekho.com/courses/ba-bachelor-of-arts-colleges-in-haryana/
Haryana Bachelor of Business Administration Admission,https://highereduhry.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-haryana
Himachal Pradesh Bachelor of Arts Entrance Examination,https://www.hpuniv.ac.in/,https://www.careers360.com/courses/ba-bachelor-of-arts
Himachal Pradesh Bachelor of Business Administration Admission,https://www.hpuniv.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-himachal-pradesh
Himachal Pradesh Common Entrance Test,https://www.hptechboard.com/,https://www.hptechboard.com/
Himachal Pradesh Polytechnic Admission Test,https://www.hptechboard.com/,https://www.hptechboard.com/
Himachal Pradesh Polytechnic Entrance,https://www.hptechboard.com/,https://www.hptechboard.com/
ICFAI Technology School Admission Test,https://www.ifheindia.org/itsat/,https://www.ifheindia.org/itsat/
IMS Design and Innovation Academy Entrance Examination,https://imsdia.org/,https://imsdia.org/admissions/
Indian Council of Agricultural Research All India Entrance Examination for Admission Undergraduate,https://exams.nta.ac.in/ICAR/,https://icaradmission.in/
Indian Institute of Art and Design Entrance Test,https://www.iiad.edu.in/,https://www.iiad.edu.in/admissions/
Indian Institute of Foreign Trade Entrance Examination,https://www.iift.ac.in/,https://www.iift.ac.in/iift/admissions.php
Indian Institute of Petroleum and Energy Entrance Examination,https://www.iipe.ac.in/,https://www.iipe.ac.in/admissions.php
Indian Institute of Science Bachelor of Science Research Admission,https://www.iisc.ac.in/admissions/,https://www.iisc.ac.in/admissions/undergraduate-programmes/
Indian Institute of Space Science and Technology Admission,https://www.iist.ac.in/admissions,https://www.iist.ac.in/admissions/undergraduate
Indian Institutes of Science Education and Research Aptitude Test,https://iiseradmission.in/,https://iiseradmission.in/examination/
Indian Maritime University Common Entrance Test,https://www.imu.edu.in/,https://www.imu.edu.in/imunew/index.php?prod_id=101
Indira Gandhi National Tribal University Entrance Examination Folk Literature,https://igntu.ac.in/,https://igntu.ac.in/admission.aspx
Indira Gandhi Rashtriya Uran Akademi Entrance Examination,https://igrua.gov.in/,"No official cutoff. Selection based on written test, aptitude assessment, interview, and medical fitness."
Indira Kala Sangeet University Entrance,https://iksv.ac.in/,https://iksv.ac.in/admission/
Industrial Training Institute Admission National Council for Vocational Training,https://dgt.gov.in/,State-specific ITI merit/cutoff portals
Industrial Training Institute Admission State Council for Vocational Training,State Skill Development Portals,State-specific ITI merit/cutoff portals
Industrial Training Institute Trades Admission,https://dgt.gov.in/,State-specific ITI trade merit portals
Institute of Hotel Management Aurangabad Entrance Test,https://www.ihma.ac.in/,https://www.ihma.ac.in/admissions
Institute of Hotel Management Catering Technology Entrance Vegetarian Culinary Arts,https://www.ihmjaipur.com/,https://www.shiksha.com/hospitality-travel/hotel-hospitality-management-chp
Integrated Bachelor of Arts and Bachelor of Education Entrance Examination,Institution/University-specific portals,https://www.shiksha.com/teaching-education/ba-b-ed-chp
Inter National Institute of Fashion Design Entrance Examination,https://www.inifd.org/,https://www.inifd.org/admissions
International Air Transport Association Certification,https://www.iata.org/,No official cutoff. Certification pass criteria apply.
International Institute of Hotel Management Electronic Common Hospitality Admission Test,https://www.iihm.ac.in/echat/,https://www.iihm.ac.in/echat/
ITM Design Entrance Examination,https://www.itm.edu/design-school/,https://www.itm.edu/design-school/admissions
Jain Entrance Test,https://www.jainuniversity.ac.in/jet,https://www.jainuniversity.ac.in/jet
Jamia Millia Islamia Engineering Entrance Examination,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jamia Millia Islamia Mass Communication Entrance,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jamia Social Work Entrance,https://www.jmi.ac.in/,https://admission.jmi.ac.in/
Jammu and Kashmir Bachelor of Business Administration Admission,https://www.jakbopee.gov.in/,https://www.jakbopee.gov.in/
Jawaharlal Institute of Postgraduate Medical Education and Research Nursing Entrance Examination,https://jipmer.edu.in/,https://jipmer.edu.in/education/undergraduate
JD Institute of Fashion Technology Design Entrance Examination,https://www.jdinstitute.edu.in/,https://www.jdinstitute.edu.in/admission/
Jharkhand Bachelor of Business Administration Admission,https://jharkhanduniversities.nic.in/,https://www.shiksha.com/bba/colleges/bba-colleges-jharkhand
Jharkhand Combined Entrance Competitive Examination,https://jceceb.jharkhand.gov.in/,https://jceceb.jharkhand.gov.in/
Jharkhand Combined Entrance Competitive Examination Pre Polytechnic Test,https://jceceb.jharkhand.gov.in/,https://jceceb.jharkhand.gov.in/
JK Lakshmipat University Design Entrance Examination,https://jklu.edu.in/,https://jklu.edu.in/admissions/
Joint Entrance Examination JoSAA Joint Seat Allocation (JEE Main and Advanced),https://josaa.nic.in/,https://josaa.nic.in/or-cr/
Joint Entrance Examination CSAB Special Rounds (JEE Main),https://csab.nic.in/,https://csab.nic.in/
Joint Entrance Examination CSAB NEUT North Eastern States and Union Territories (JEE Main),https://csab.nic.in/,https://csab.nic.in/
Joint Entrance Examination JAC Delhi Joint Admission Counselling (JEE Main),https://jacdelhi.admissions.nic.in/,https://jacdelhi.admissions.nic.in/
Joint Entrance Examination Advanced IIT Joint Admission (JEE Advanced),https://jeeadv.ac.in/,https://josaa.nic.in/or-cr/
Joint Entrance Examination Council Uttar Pradesh Polytechnic Entrance Examination,https://jeecup.admissions.nic.in/,https://jeecup.admissions.nic.in/
Joint Entrance Test Agriculture,https://www.bskkvs.org/,https://www.bskkvs.org/admission.php
Joint Integrated Programme in Management Admission Test,https://www.iimj.ac.in/,https://www.iimj.ac.in/academics/ipm
K. R. Mangalam University Entrance Test,https://www.krmangalam.edu.in/,https://www.krmangalam.edu.in/admissions/
Kalinga Institute of Industrial Technology Entrance Examination Management Undergraduate,https://kiitee.kiit.ac.in/,https://admission.kiit.ac.in/management/
Karnataka Bachelor of Business Administration Entrance Examination,https://kea.kar.nic.in/,https://www.shiksha.com/bba/colleges/bba-colleges-karnataka
Karnataka Chitrakala Parishath Entrance,https://www.chitrakalaparishath.org/,https://www.chitrakalaparishath.org/admissions
Karnataka Common Entrance Test,https://cetonline.karnataka.gov.in/kea/,https://keaonline.karnataka.gov.in/ugcet_result_2025/main/results.php
Kashmir Polytechnic Entrance,https://jkbopee.gov.in/,https://www.jkbopee.gov.in/
Kerala Dairy Technology Entrance,https://admissions.kau.in/,https://admissions.kau.in/
Kerala Engineering Architecture Medical Entrance Examination,https://cee.kerala.gov.in/,https://cee.kerala.gov.in/keam-2025/
Kerala Fisheries Entrance Examination,https://admissions.kufos.ac.in/,https://admissions.kufos.ac.in/
Kerala Food Technology Entrance,https://admissions.kau.in/,https://admissions.kau.in/
Kerala Forestry Entrance Examination,https://admissions.kau.in/,https://admissions.kau.in/
Kerala Law Entrance Examination,https://cee.kerala.gov.in/,https://cee.kerala.gov.in/kerala-law-entrance-examination/
Kerala Nursing Entrance Examination,https://cee.kerala.gov.in/,https://cee.kerala.gov.in/keam-2025/
Kerala Paramedical Entrance Examination,https://www.lbscentre.kerala.gov.in/,https://www.lbscentre.kerala.gov.in/
Kerala Polytechnic Entrance Examination,https://www.polyadmission.org/,https://www.polyadmission.org/
Kerala Veterinary Entrance Examination,https://admissions.kvasu.ac.in/,https://admissions.kvasu.ac.in/
Krea University Entrance,https://krea.edu.in/,https://krea.edu.in/admissions/undergraduate/
Krea University Liberal Arts Entrance Examination,https://krea.edu.in/,https://krea.edu.in/admissions/undergraduate/
Ladakh Bachelor of Business Administration Entrance Examination,https://highereducation.ladakh.gov.in/,https://www.collegedekho.com/courses/bba-colleges-in-india/
Lakshadweep Bachelor of Business Administration Entrance Examination,https://lakshadweep.gov.in/,https://www.collegedekho.com/courses/bba-colleges-in-india/
Law Aptitude Test,https://www.slat-test.org/,https://www.slat-test.org/
LISAA School of Design Entrance Test,https://www.lisaa.com/india/,https://www.lisaa.com/india/admissions/
Lovely Professional University National Entrance and Scholarship Test,https://nest.lpu.in/,https://nest.lpu.in/
Lovely Professional University National Entrance and Scholarship Test Design,https://nest.lpu.in/design/,https://nest.lpu.in/design/
Loyola College Social Work Admission,https://www.loyolacollege.edu/,https://www.loyolacollege.edu/admission/
Madhya Pradesh Bachelor of Arts Entrance Examination,https://epravesh.mponline.gov.in/,https://www.shiksha.com/humanities-social-sciences/colleges/ba-colleges-madhya-pradesh
Madhya Pradesh Bachelor of Business Administration Entrance Examination,https://epravesh.mponline.gov.in/,https://www.shiksha.com/bba/colleges/bba-colleges-madhya-pradesh
Madhya Pradesh Polytechnic Entrance Examination,https://dte.mponline.gov.in/,https://dte.mponline.gov.in/portal/
Madhya Pradesh Pre Agriculture Test,https://esb.mp.gov.in/,https://esb.mp.gov.in/
Madhya Pradesh Pre Engineering Test,https://dte.mponline.gov.in/,https://dte.mponline.gov.in/portal/
Madhya Pradesh Pre Nursing Selection Test,https://esb.mp.gov.in/,https://esb.mp.gov.in/
Madhya Pradesh Pre Polytechnic Test,https://esb.mp.gov.in/,https://esb.mp.gov.in/
Madhya Pradesh Pre Veterinary and Fisheries Test,https://esb.mp.gov.in/,https://esb.mp.gov.in/
Madras School Of Social Work Entrance,https://mssw.in/,https://mssw.in/admissions/
Maharaja Sayajirao University of Baroda Fine Arts Entrance Examination,https://msubaroda.ac.in/,https://msubaroda.ac.in/admission/
Maharashtra Bachelor of Science Nursing Common Entrance Test,https://cetcell.mahacet.org/,https://medical2025.mahacet.org/
Maharashtra Common Entrance Test,https://cetcell.mahacet.org/,https://fe2025.mahacet.org/StaticPages/HomePage
Maharashtra Paramedical Common Entrance Test,https://cetcell.mahacet.org/,https://medical2025.mahacet.org/
Maharashtra Polytechnic Entrance Examination,https://poly25.dtemaharashtra.gov.in/,https://poly25.dtemaharashtra.gov.in/diploma25/index.php/hp_controller/instwiseallotment
Manipal Academy of Higher Education Design Entrance Examination,https://manipal.edu/,https://manipal.edu/mu/admission.html
Manipal Entrance Test,https://manipal.edu/mu/admission.html,https://manipal.edu/mu/admission.html
Manipal Media Entrance,https://manipal.edu/smcj.html,https://manipal.edu/mu/admission.html
Manipur Bachelor of Business Administration Entrance Examination,https://www.manipuruniv.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-manipur
Manipur Polytechnic Entrance Examination,https://dte.mn.gov.in/,https://dte.mn.gov.in/
Meghalaya Bachelor of Business Administration Entrance Examination,https://www.nehu.ac.in/,https://www.shiksha.com/bba/colleges/bba-colleges-meghalaya
Meghalaya Engineering Entrance Examination,https://megtechedu.gov.in/,https://megtechedu.gov.in/
Meghalaya Polytechnic Entrance Examination,https://megtechedu.gov.in/,https://megtechedu.gov.in/
Military Nursing Service Entrance Examination,https://joinindianarmy.nic.in/,https://joinindianarmy.nic.in/Authentication.aspx
MIT Institute of Design Design Aptitude Test,https://mitid.edu.in/,https://mitid.edu.in/admissions/
MIT Institute of Design Entrance Examination,https://mitid.edu.in/,https://mitid.edu.in/admissions/
MIT Institute of Design Product Design Entrance Examination,https://mitid.edu.in/,https://mitid.edu.in/admissions/
MIT World Peace University Entrance Test,https://mitwpu.edu.in/,https://mitwpu.edu.in/admissions
Mizoram Bachelor of Business Administration Entrance Examination,https://mzu.edu.in/,https://www.shiksha.com/bba/colleges/bba-colleges-mizoram
Mizoram Engineering Entrance Examination,https://mzu.edu.in/,https://mzu.edu.in/
Mizoram Polytechnic Entrance,https://highereducation.mizoram.gov.in/,https://highereducation.mizoram.gov.in/
Nagaland Engineering Entrance Examination,https://dte.nagaland.gov.in/,https://dte.nagaland.gov.in/
Nagaland Polytechnic Entrance,https://dte.nagaland.gov.in/,https://dte.nagaland.gov.in/
Narsee Monjee Institute of Management Studies Law Aptitude Test,https://www.nmims.edu/,https://www.nmims.edu/admission
Narsee Monjee Institute of Management Studies National Test for Programs After Twelfth,https://npat.nmims.edu/,https://npat.nmims.edu/
National Aptitude Test in Architecture,https://www.nata.in/,https://www.nata.in/
National Council for Hotel Management and Catering Technology Joint Entrance Examination,https://exams.nta.ac.in/NCHM/,https://nchmcounselling.nic.in/
National Council for Hotel Management Joint Entrance Examination,https://exams.nta.ac.in/NCHM/,https://nchmcounselling.nic.in/
National Eligibility cum Entrance Test Undergraduate,https://neet.nta.nic.in/,https://mcc.nic.in/
National Entrance Screening Test,https://www.nestexam.in/,https://www.nestexam.in/
National Forensic Sciences University Forensic Science Entrance Examination,https://nfsu.ac.in/,https://nfsu.ac.in/admission
National Institute of Design Design Aptitude Test Toy Design,https://www.nid.edu/,https://admissions.nid.edu/
National Institute of Fashion Technology Entrance Examination,https://www.nift.ac.in/,https://www.nift.ac.in/admission
National Institute of Mental Health and Neuro Sciences Bachelor of Science Neurophysiology Entrance Examination,https://www.nimhans.ac.in/,https://www.nimhans.ac.in/education/admission-notifications/
National Rail and Transportation Institute Transport Technology Entrance Examination,https://gsv.ac.in/,https://gsv.ac.in/admissions/
National Standard Examination,https://www.iapt.org.in/,https://www.iapt.org.in/exams.html
North Eastern Indira Gandhi Regional Institute of Health and Medical Sciences Bachelor of Science Nursing Entrance Examination,https://www.neigrihms.gov.in/,https://www.neigrihms.gov.in/admission/
O. P. Jindal Global University Entrance Test,https://jgu.edu.in/,https://jgu.edu.in/admissions/
Oberoi Systematic Training and Education Programme,https://www.oberoihotels.com/step/,No official cutoff. Selection based on aptitude tests and interviews.
Odisha Diploma Entrance Test,https://skill.samsodisha.gov.in/,https://skill.samsodisha.gov.in/meritlist.aspx
Odisha Joint Entrance Examination,https://ojee.nic.in/,https://ojee.nic.in/publicinfo/public/home.aspx
Odisha Joint Entrance Examination Agriculture,https://ojee.nic.in/,https://ojee.nic.in/publicinfo/public/home.aspx
Odisha Polytechnic Entrance Examination,https://skill.samsodisha.gov.in/,https://skill.samsodisha.gov.in/
Odisha University of Agriculture and Technology Entrance Examination,https://ouat.nic.in/,https://ouat.nic.in/admissions/
Online Facilitation System for Students Bihar University Admission,https://www.ofssbihar.in/,https://www.ofssbihar.in/Higher-Education/index.aspx
Panjab University Design Entrance Examination,https://design.puchd.ac.in/,https://design.puchd.ac.in/show-noticeboard.php
Panjab University Undergraduate Law Entrance Test,https://pglaw.puchd.ac.in/,https://uglaw.puchd.ac.in/
Paramedical State Common Entrance Test,State-specific entrance portals,"Use respective state counselling portals (e.g., WBJEE JENPAS, ABVMU CPNET, RUHS Paramedical)"
Parul University Entrance Test,https://paruluniversity.ac.in/,https://admissions.paruluniversity.ac.in/
Pearl Academy Entrance Examination,https://pearlacademy.com/,https://pearlacademy.com/admissions/
PES Scholastic Aptitude Test,https://www.pessat.com/,https://www.pessat.com/
Plaksha University Undergraduate Tech Entrance Test,https://plaksha.edu.in/,https://plaksha.edu.in/admissions/undergraduate
Pradhan Mantri Kaushal Vikas Yojana,https://www.pmkvyofficial.org/,No official cutoff. Eligibility/skill certification-based programme
Presidency University Bachelor Degree Entrance Test,https://presiuniv.ac.in/,https://presiuniv.ac.in/web/admission.php
Presidency University Entrance Test,https://presiuniv.ac.in/,https://presiuniv.ac.in/web/admission.php
Puducherry Bachelor of Business Administration Entrance Examination,https://www.pondiuni.edu.in/,https://www.shiksha.com/university/pondicherry-university-puducherry-25056/course-bba-363521
Puducherry Polytechnic Entrance,https://dte.py.gov.in/,https://dte.py.gov.in/
Punjab Bachelor of Business Administration Entrance Examination,https://www.punjabiuniversity.ac.in/,https://www.shiksha.com/university/panjab-university-chandigarh-4026/course-bba-1107291 (Shiksha)
Punjab Joint Entrance Test Diploma,https://punjabteched.com/,https://punjabteched.com/Default.aspx
Punjab Para Medical Entrance Test Baba Farid University of Health Sciences,https://bfuhs.ac.in/,https://bfuhs.ac.in/AllNotifications.aspx
Punjab State Board of Technical Education Polytechnic Admission Test,https://punjabteched.com/,https://punjabteched.com/Default.aspx
Rabindra Bharati University Entrance,https://rbu.ac.in/,https://rbu.ac.in/home/admission
Raffles Design Entrance Examination,https://rafflesdesigninstitute.edu.in/,https://rafflesdesigninstitute.edu.in/admissions/
Rajasthan Bachelor of Business Administration Entrance Examination,https://hte.rajasthan.gov.in/,https://www.shiksha.com/bba/colleges/bba-colleges-rajasthan (Shiksha)
Rajasthan Engineering Admission Process,https://reap2025.com/,https://reap2025.com/seat-allotment.php
Rajasthan Polytechnic Entrance Examination,https://dte.rajasthan.gov.in/,https://hteapp.hte.rajasthan.gov.in/dte/polytechnic/
Rajasthan Pre Bachelor of Education and Basic School Teaching Certificate Entrance Examination,https://ptetvmoukota2025.in/,https://ptetvmoukota2025.in/
Rajasthan Pre Veterinary Test,https://rajuvas.org/,https://rajuvas.org/admission.php
Rajasthan University Law Entrance Test,https://www.uniraj.ac.in/,https://admissions.univraj.org/rul/
Rajasthan University of Health Sciences Bachelor of Science Nursing Entrance Examination,https://www.ruhsraj.org/,https://www.ruhsraj.org/admission/
Rajasthan University of Health Sciences Entrance Examination,https://www.ruhsraj.org/,https://www.ruhsraj.org/admission/
